action;country;parent;category
category-items;89;191;206
category-items;89;187;381
category-items;89;187;413
category;89;187;248
category;89;187;401
category;89;187;244
category;89;187;382
category;89;191;372
category;89;191;370
category;89;191;322
category;89;191;324
category;89;191;199
category;89;191;414
category;89;191;371
category;89;191;198
category;89;191;323
category;89;191;207
category;89;186;281
category;89;186;279
category;89;186;280
category;89;186;278
category;89;186;283
category;89;190;254
category;89;190;266
category;89;190;257
category;89;190;255
category;89;190;260
category;89;190;261
category;89;190;256
category;89;190;267
category;89;190;593
category;89;190;263
category;89;190;264
category;89;190;265
category;89;190;373
category;89;190;259
category;89;190;384
category;89;190;268
category;89;190;329
category;89;190;374
category;89;190;385
category;89;190;386
category;89;190;270
category;89;190;375
category;89;0;187
category;89;0;191
category;89;0;186
category;89;0;190
