"Opcodes";"Fields";"Description"
"a";"[a] p1p2p3";"score time by a specified amount."
"abs";"[abs](x) (no rate restriction)";"an absolute value."
"active";"ir [active] insnum";"the number of active instances of an instrument."
"add";"(Syntax not available)";"(Description not available)"
"adsr";"ares [adsr] iatt, idec, islev, irel [, idel]";"the classical ADSR envelope using linear segments."
"adsyn";"ares [adsyn] kamod, kfmod, ksmod, ifilcod";"is an additive set of individually controlled sinusoids, using an oscillator bank."
"adsynt";"ares [adsynt] kamp, kcps, iwfn, ifreqfn, iampfn, icnt [, iphs]";"additive synthesis with an arbitrary number of partials, not necessarily harmonic."
"adsynt2";"ar [adsynt2] kamp, kcps, iwfn, ifreqfn, iampfn, icnt [, iphs]";"additive synthesis with an arbitrary number of partials -not necessarily harmonic- with interpolation."
"aftouch";"kaft [aftouch] [imin] [, imax]";"the current after-touch value for this channel."
"alpass";"ares [alpass] asig, krvt, ilpt [, iskip] [, insmps]";"an input signal with a flat frequency response."
"ampdb";"[ampdb](x)(no rate restriction)";"the amplitude equivalent of the decibel value x."
"ampdbfs";"[ampdbfs](x)(no rate restriction)";"Returns the amplitude equivalent of the decibel value x, which is relative to full scale amplitude."
"ampmidi";"iamp [ampmidi] iscal [, ifn]";"the velocity of the current MIDI event."
"and";"(Syntax not available)";"(Description not available)"
"areson";"ares [areson] asig, kcf, kbw [, iscl] [, iskip]";"notch filter whose transfer functions are the complements of the reson opcode."
"aresonk";"kres [aresonk] ksig, kcf, kbw [, iscl] [, iskip]";"notch filter whose transfer functions are the complements of the reson opcode."
"atone";"ares [atone] asig, khp [, iskip]";"hi-pass filter whose transfer functions are the complements of the"
"atonek";"kres [atonek] ksig, khp [, iskip]";"hi-pass filter whose transfer functions are the complements of the"
"atonex";"ares [atonex] asig, khp [, inumlayer] [, iskip]";"a stack of filters using the atone opcode."
"ATSadd";"ar [ATSadd] ktimepnt, kfmod, iatsfile, ifn, ipartials[, ipartialoffset, ipartialincr, igatefn]";"uses the data from an ATS analysis file to perform additive synthesis."
"ATSaddnz";"ar [ATSaddnz] ktimepnt, iatsfile, ifn, ibands[, ibandoffset, ibandincr]";"uses the data from an ATS analysis file to perform noise resynthesis."
"ATSbufread";"[ATSbufread] ktimepnt, kfmod, iatsfile, ipartials[, ipartialoffset, ipartialincr]";"reads data from and ATS data file and stores it in an internal data table of frequency, amplitude pairs."
"ATScross";"ar [ATScross] ktimepnt, kfmod, iatsfile, ifn, kmylev, kbuflev, ipartials [, ipartialoffset, ipartialincr]";"perform cross synthesis from ATS analysis files."
"ATSinfo";"idata [ATSinfo] iatsfile, ilocation";"reads data out of the header of an ATS file."
"ATSinterpread";"kamp [ATSinterpread] kfreq";"allows a user to determine the frequency envelope of any"
"ATSpartialtap";"kfrq, kamp [ATSpartialtap] ipartialnum";"returns a frequency, amplitude pair from an"
"ATSread";"kfreq, kamp [ATSread] ktimepnt, iatsfile, ipartial";"reads data from an ATS file."
"ATSreadnz";"kenergy [ATSreadnz] ktimepnt, iatsfile, iband";"reads data from an ATS file."
"ATSsinnoi";"ar [ATSsinnoi] ktimepnt, ksinlev, knzlev, kfmod, iatsfile, ipartials [, ipartialoffset, ipartialincr]";"uses the data from an ATS analysis file to perform resynthesis."
"babo";"a1, a2 [babo] asig, ksrcx, ksrcy, ksrcz, irx, iry, irz [, idiff] [, ifno]";"physical model reverberator."
"balance";"ares [balance] asig, acomp [, ihp] [, iskip]";"one audio signal according to the values of another."
"bamboo";"ares [bamboo] kamp, idettack [, inum] [, idamp] [, imaxshake] [, ifreq] [, ifreq1] [, ifreq2]";"model of a bamboo sound."
"barmodel";"ares [barmodel] kbcL, kbcR, iK, ib, kscan, iT30, ipos, ivel, iwid";"a tone similar to a stuck metal bar."
"bbcutm";"a1 [bbcutm] asource, ibps, isubdiv, ibarlength, iphrasebars, inumrepeats [, istutterspeed] [, istutterchance] [, ienvchoice ]";"breakbeat-style cut-ups of a mono audio stream."
"bbcuts";"a1,a2 [bbcuts] asource1, asource2, ibps, isubdiv, ibarlength, iphrasebars, inumrepeats [, istutterspeed] [, istutterchance] [, ienvchoice]";"breakbeat-style cut-ups of a stereo audio stream."
"betarand";"ares [betarand] krange, kalpha, kbeta";"distribution random number generator (positive values only)."
"bexprnd";"ares [bexprnd] krange";"distribution random number generator."
"bformdec";"ao1, ao2 [bformdec] isetup, aw, ax, ay, az [, ar, as, at, au, av [, abk, al, am, an, ao, ap, aq]]";"an ambisonic B format signal"
"bformenc";"aw, ax, ay, az [bformenc] asig, kalpha, kbeta, kord0, kord1";"a signal into the ambisonic B format"
"binit";"fsig [binit] fin, isize";"tracks to amplitude+frequency conversion."
"biquad";"ares [biquad] asig, kb0, kb1, kb2, ka0, ka1, ka2 [, iskip]";"sweepable general purpose biquadratic digital filter."
"biquada";"ares [biquada] asig, ab0, ab1, ab2, aa0, aa1, aa2 [, iskip]";"sweepable general purpose biquadratic digital filter with a-rate parameters."
"birnd";"[birnd](x) (init- or control-rate only)";"a random number in a bi-polar range."
"bmopen";"(Syntax not available)";"(Description not available)"
"bmoscil";"(Syntax not available)";"(Description not available)"
"bmoscili";"(Syntax not available)";"(Description not available)"
"bmscan";"(Syntax not available)";"(Description not available)"
"bmscani";"(Syntax not available)";"(Description not available)"
"bmtable";"(Syntax not available)";"(Description not available)"
"bmtablei";"(Syntax not available)";"(Description not available)"
"bqrez";"ares [bqrez] asig, xfco, xres [, imode] [, iskip]";"second-order multi-mode filter."
"butbp";"ares [butbp] asig, kfreq, kband [, iskip]";"as the butterbp opcode."
"butbr";"ares [butbr] asig, kfreq, kband [, iskip]";"as the butterbr opcode."
"buthp";"ares [buthp] asig, kfreq [, iskip]";"as the butterhp opcode."
"butlp";"ares [butlp] asig, kfreq [, iskip]";"as the butterlp opcode."
"butterbp";"ares [butterbp] asig, kfreq, kband [, iskip]";"band-pass Butterworth filter."
"butterbr";"ares [butterbr] asig, kfreq, kband [, iskip]";"band-reject Butterworth filter."
"butterhp";"ares [butterhp] asig, kfreq [, iskip]";"high-pass Butterworth filter."
"butterlp";"ares [butterlp] asig, kfreq [, iskip]";"low-pass Butterworth filter."
"buzz";"ares [buzz] xamp, xcps, knh, ifn [, iphs]";"is a set of harmonically related sine partials."
"cabasa";"ares [cabasa] iamp, idettack [, inum] [, idamp] [, imaxshake]";"model of a cabasa sound."
"call";"(Syntax not available)";"(Description not available)"
"calld";"(Syntax not available)";"(Description not available)"
"callm";"(Syntax not available)";"(Description not available)"
"callmd";"(Syntax not available)";"(Description not available)"
"cauchy";"ares [cauchy] kalpha";"distribution random number generator."
"ceil";"[ceil](x) (init-, control-, or audio-rate arg allowed)";"the smallest integer not less than"
"cent";"[cent](x)";"a factor to raise/lower a frequency by a given amount of cents."
"cggoto";"[cggoto] condition, label";"transfer control on every pass."
"chanctrl";"ival [chanctrl] ichnl, ictlno [, ilow] [, ihigh]";"the current value of a MIDI channel controller."
"changed";"ktrig [changed] kvar1 [, kvar2,..., kvarN]";"k-rate signal change detector."
"chani";"kval [chani] kchan";"data from the software bus"
"chano";"[chano] kval, kchan";"data to the outwards software bus"
"chn_a";"(Syntax not available)";"(Description not available)"
"chn_k";"(Syntax not available)";"(Description not available)"
"chn_S";"(Syntax not available)";"(Description not available)"
"chnclear";"[chnclear] Sname";"an audio output channel of the named software bus."
"chnexport";"gival [chnexport] Sname, imode[, itype, idflt, imin, imax]";"a global variable as a channel of the bus."
"chnget";"ival [chnget] Sname";"data from the software bus."
"chnmix";"[chnmix] aval, Sname";"audio data to the named software bus, mixing to the previousoutput."
"chnparams";"itype, imode, ictltype, idflt, imin, imax [chnparams]";"parameters of a channel."
"chnrecv";"(Syntax not available)";"(Description not available)"
"chnsend";"(Syntax not available)";"(Description not available)"
"chnset";"[chnset] ival, Sname";"data to the named software bus."
"cigoto";"[cigoto] condition, label";"transfer control during the i-time pass."
"ckgoto";"[ckgoto] condition, label";"transfer control during the p-time passes."
"clear";"[clear] avar1 [, avar2] [, avar3] [...]";"a list of audio signals."
"clfilt";"ares [clfilt] asig, kfreq, itype, inpol [, ikind] [, ipbr] [, isba] [, iskip]";"low-pass and high-pass filters of different styles."
"clip";"ares [clip] asig, imeth, ilimit [, iarg]";"a signal to a predefined limit."
"clockoff";"[clockoff] inum";"one of a number of internal clocks."
"clockon";"[clockon] inum";"one of a number of internal clocks."
"cngoto";"[cngoto] condition, label";"control on every pass when a condition is not true."
"cogoto";"(Syntax not available)";"(Description not available)"
"comb";"ares [comb] asig, krvt, ilpt [, iskip] [, insmps]";"an input signal with a"
"compress";"ar [compress] aasig, acsig, kthresh, kloknee, khiknee, kratio, katt, krel, ilook";"limit, expand, duck or gate an audio signal."
"convle";"(Syntax not available)";"as the convolve opcode."
"convolve";"ar1 [, ar2] [, ar3] [, ar4] [convolve] ain, ifilcod [, ichannel]";"a signal and an impulse response."
"cos";"[cos](x) (no rate restriction)";"a cosine function."
"cosh";"[cosh](x) (no rate restriction)";"a hyperbolic cosine function."
"cosinv";"[cosinv](x) (no rate restriction)";"a arccosine function."
"cps2pch";"icps [cps2pch] ipch, iequal";"a pitch-class value into cycles-per-second for equal divisions of the octave."
"cpsmidi";"icps [cpsmidi]";"the note number of the current MIDI event, expressed in cycles-per-second."
"cpsmidib";"icps [cpsmidib] [irange]";"the note number of the current MIDI event and modify it by the current pitch-bend value, express it in cycles-per-second."
"cpsoct";"[cpsoct] (oct)(no rate restriction)";"an octave-point-decimal value to cycles-per-second."
"cpspch";"[cpspch] (pch)(init- or control-rate args only)";"a pitch-class value to cycles-per-second."
"cpstmid";"icps [cpstmid] ifn";"a MIDI note number (allows customized micro-tuning scales)."
"cpstun";"kcps [cpstun] ktrig, kindex, kfn";"micro-tuning values at k-rate."
"cpstuni";"icps [cpstuni] index, ifn";"micro-tuning values at init-rate."
"cpsxpch";"icps [cpsxpch] ipch, iequal, irepeat, ibase";"Converts a pitch-class value into cycles-per-second (Hz) for equal divisions of any interval."
