Country;Parent ;Current Category;Type;Current URL;Current ID;Category to redirect to;Type;URL to redirect to;New ID
2;Compra - Venta;Animales;Subcategory;animales-cat-312;312;Animales y Mascotas;Parent;animales-mascotas-cat-811;811
2;Compra - Venta;Celulares - Teléfonos;Subcategory;celulares-telefonos-cat-219;219;Teléfonos - Tablets;Parent;telefonos-tablets-cat-830;830
2;Compra - Venta;Fotografía - Imagen - Sonido;Subcategory;fotografia-imagen-sonido-cat-218;218;Cámaras y accesorios;Subcategory;camaras-accesorios-cat-804;804
2;Compra - Venta;Computadoras - Informática;Subcategory;computadoras-informatica-cat-240;240;Computadoras - Notebooks;Subcategory;computadoras-notebooks-cat-803;803
2;Compra - Venta;Video juegos - Consolas;Subcategory;video-juegos-consolas-cat-209;209;Video Juegos - Consolas;Subcategory;video-juegos-consolas-cat-802;802
2;Compra - Venta;Artículos para Bebés y Niños;Subcategory;articulos-para-ninos-y-bebes-cat-365;365;Bebés y Niños;Parent;bebes-ninos-cat-853;853
2;Compra - Venta;Juguetes - Juegos;Subcategory;juguetes-juegos-cat-211;211;Juegos y Juguetes;Subcategory;juegos-juguetes-cat-854;854
2;Compra - Venta;Tickets & Entradas;Subcategory;tickets-entradas-cat-402;402;Home Page;Home Page;olx.com.ar;0
2;Vehículos;Barcos y Lanchas ;Subcategory;barcos-cat-376;376;Barcos y Lanchas;Optional;q/barcos-lanchas/c-380;380
2;Vehículos;Casas rodantes - Trailers - Remolques;Subcategory;casas-rodantes-trailers-remolques-caravanas-cat-417;417;Casas rodantes - Trailers;Optional;q/casas-rodantes-trailers/c-380;380
