Country_ID;Parent;Current Category;Type;Current URL;Current ID;Category/FLO/SLO to redirect to;Type;url to redirect to;New ID;New Parent
193;362;Other Vehicles;Subcategory;other-vehicles-cat-380;380;Trucks - Vans - Commercial;Subcategory;trucks-vans-commercial-cat-416;416;362
193;362;Rentals;Subcategory;rentals-cat-651;651;Vehicles;Category;vehicles-cat-362;362;362
193;362;Vehicle – servicing;Subcategory;vehicle-servicing-cat-650;650;Vehicle – servicing;Optional;vehicle-servicing;824;821
193;362;Aviation;Subcategory;aviation-cat-653;653;Boats - Aviation;Subcategory;boats-aviation-cat-376;376;362
193;362;Tyres, rims & exhausts;Subcategory;tyres-rims-exhausts-cat-649;649;Car Parts;Subcategory;car-parts-cat-377;377;362
193;16;Housing Swap;Subcategory;housing-swap-cat-567;567;Real Estate;Category;real-estate-cat-16;16;16
193;16;Parking Spots;Subcategory;parking-spots-cat-302;302;Real Estate;Category;real-estate-cat-16;16;16
193;191;Services;Category;services-cat-191;191;Jobs & Services;Category;jobs-services-cat-821;821;821
193;191;Event Services;Subcategory;event-services-cat-324;324;Event Services;Optional;event-services;824;821
193;191;Moving - Storage;Subcategory;moving-storage-cat-371;371;Moving - Storage;Optional;moving-storage;824;821
193;191;Photography & video;Subcategory;photography-video-cat-641;641;Photography & video;Optional;photography-video;824;821
193;191;Legal services;Subcategory;legal-services-cat-640;640;Legal Services;Optional;legal-services;824;821
193;191;Interior design & décor;Subcategory;interior-design-decor-cat-638;638;Interior design & décor;Optional;interior-design-decor;824;821
193;191;Advertising & marketing;Subcategory;advertising-marketing-cat-630;630;Advertising- & marketing;Optional;advertising-marketing;824;821
193;191;Babysitter – Nanny;Subcategory;babysitter-nanny-cat-372;372;Babysitter - Domestic Help - Gardening;Optional;babysitter-domestic-help-gardening;824;821
193;191;Recruitment;Subcategory;recruitment-cat-642;642;Services;Subcategory;services-cat-824;824;821
193;191;Removals;Subcategory;removals-cat-643;643;Moving - Storage;Optional;moving-storage;824;821
193;191;Horoscopes - Tarot;Subcategory;horoscopes-tarot-cat-206;206;Services;Subcategory;services-cat-824;824;821
193;191;Casting - Auditions;Subcategory;casting-auditions-cat-370;370;Services;Subcategory;services-cat-824;824;821
193;191;Catering;Subcategory;catering-cat-631;631;Catering;Optional;event-services;824;821
193;191;Computer;Subcategory;computer-cat-322;322;Computer;Optional;computer;824;821
193;191;Household - Domestic Help;Subcategory;household-domestic-help-cat-414;414;Babysitter - Domestic Help - Gardening;Optional;babysitter-domestic-help–gardening;824;821
193;191;Cleaning & domestic work;Subcategory;cleaning-domestic-work-cat-632;632;Babysitter - Domestic help – Gardening;Optional;babysitter-domestic-help–gardening;824;821
193;191;Landscaping & gardening;Subcategory;landscaping-gardening-cat-639;639;Babysitter - Domestic help – Gardening;Optional;babysitter-domestic-help–gardening;824;821
